t,o,h,l,c,v,g1.ADX
1663056000000,22267.9,22307.5,22181.5,22224.3,20056.624,30.12026688010577
1663059600000,22224.3,22433.4,22224.3,22377.7,27310.964,28.475027993994654
1663063200000,22377.7,22597.9,22345.3,22521.5,32496.628,27.72953784881568
1663066800000,22521.5,22706.0,22444.0,22516.3,49105.306,28.38173545159246
1663070400000,22516.2,22850.0,21350.0,21397.2,232134.419,28.473080428792795
1663074000000,21397.3,21520.0,21163.0,21188.3,105112.5,28.943303127557733
1663077600000,21188.4,21259.0,20855.0,21001.4,93640.803,29.579695536994052
1663081200000,21001.4,21067.6,20729.0,20823.9,62091.212,30.379842053915315
1663084800000,20823.9,20893.0,20660.0,20758.7,58239.149,31.08032715150903
1663088400000,20758.7,20920.6,20715.3,20754.2,36192.574,31.646748597861386
1663092000000,20754.2,20778.6,20215.0,20240.2,86139.253,33.16352512213519
1663095600000,20240.2,20340.0,20030.5,20272.0,88525.914,34.98414008031913
1663099200000,20272.0,20408.4,20222.2,20228.0,34801.588,37.300216769933755
1663102800000,20228.1,20240.0,19840.0,20119.0,46604.574,39.71125757964063
1663106400000,20118.9,20257.2,20060.0,20213.6,28320.716,41.843747928317555
1663110000000,20213.7,20235.0,20100.0,20162.5,20059.729,44.295026013940515
1663113600000,20162.6,20209.0,20031.1,20190.4,26048.596,47.26751296808475
1663117200000,20190.6,20308.0,20174.0,20290.6,20490.232,50.06626101555317
1663120800000,20290.6,20528.5,20277.6,20434.0,39494.263,50.89611588362162
1663124400000,20434.0,20452.5,20286.8,20313.2,22076.259,51.41964518931665
1663128000000,20313.2,20395.2,20269.9,20379.7,13736.246,51.41793305951449
1663131600000,20379.7,20379.7,20287.8,20305.8,8644.852,51.151949799705015
1663135200000,20305.7,20317.6,20204.1,20231.9,16005.874,50.9378680066447
1663138800000,20231.9,20317.5,20124.6,20235.3,19537.996,51.079838481248295
1663142400000,20235.4,20413.1,20182.0,20373.2,26935.777,49.14048551771598
1663146000000,20373.3,20393.0,20302.4,20339.9,12889.932,46.45397134069992
1663149600000,20339.9,20376.1,20301.6,20331.1,8971.294,44.47608099708664
1663153200000,20331.0,20353.2,20050.0,20219.8,30732.917,41.827836927640995
1663156800000,20219.9,20343.5,20061.8,20300.3,55221.447,39.51272411147836
1663160400000,20300.2,20380.3,20173.1,20297.2,35756.939,37.06127876407821
1663164000000,20297.2,20308.6,20100.0,20281.6,30429.592,34.81464135888576
1663167600000,20281.7,20317.7,20098.1,20165.6,21356.306,33.51012456024835
1663171200000,20165.6,20207.3,20097.2,20134.2,20393.188,35.13991284121825
1663174800000,20134.2,20228.9,20088.0,20094.6,23441.641,36.29308684291646
1663178400000,20094.6,20126.1,19600.0,19766.1,107922.424,38.80097522212501
1663182000000,19766.1,19988.0,19703.0,19935.1,35568.379,41.129728717104385
1663185600000,19935.1,19977.0,19884.6,19934.1,13128.514,43.130396155002764
1663189200000,19934.1,20220.0,19843.9,20191.4,27211.807,42.43918947699133
1663192800000,20191.4,20384.4,20127.6,20286.6,30382.625,41.288684386040224
1663196400000,20286.6,20298.5,20178.0,20217.0,15425.497,40.22035823015705
1663200000000,20217.0,20258.7,20134.0,20149.2,17627.633,39.39893623381905
1663203600000,20149.3,20188.9,19950.1,20184.8,27365.029,38.36366388423611
1663207200000,20184.8,20184.9,20009.6,20090.0,14418.721,37.40233955962338
1663210800000,20089.9,20099.9,19903.5,20015.9,21924.492,37.18236990611194
1663214400000,20015.9,20085.1,19947.4,20016.1,16513.732,36.70616233549858
1663218000000,20016.1,20194.8,19994.5,20138.5,18157.276,35.57518666422867
1663221600000,20138.5,20303.3,19970.0,20094.6,49446.502,33.883932714212854
1663225200000,20093.2,20315.0,20061.0,20195.2,32921.215,32.36770560875862
1663228800000,20195.1,20213.3,20010.2,20141.0,25664.325,31.820300972455776
1663232400000,20141.1,20190.2,20036.8,20120.0,18147.026,31.311996667317423
1663236000000,20120.1,20197.6,20090.1,20141.0,13519.523,30.87865866905175
1663239600000,20141.0,20200.0,20070.0,20140.9,15425.723,28.701377835707426
1663243200000,20140.9,20188.7,20050.0,20116.0,24793.197,28.674837256382496
1663246800000,20116.0,20138.7,19973.6,20109.9,38222.496,29.179727318898063
1663250400000,20109.9,20175.0,19635.0,19697.9,83337.157,30.957249699720098
1663254000000,19697.9,19844.0,19453.0,19728.8,87365.605,32.601761369088756
1663257600000,19728.8,19864.5,19640.0,19856.4,33984.401,33.91444081602275
1663261200000,19856.4,19936.3,19782.3,19820.3,23690.821,34.00724927300393
1663264800000,19820.4,19873.0,19722.6,19751.7,20107.966,34.34989628663187
1663268400000,19751.7,19834.4,19660.0,19774.9,21454.828,35.98955483816922
1663272000000,19774.9,19846.4,19750.4,19843.7,9419.686,38.6734934783857
1663275600000,19843.6,19880.8,19779.6,19818.2,9548.712,40.87143929534545
